ALFABETA;PRINCIPIO ACTIVO;MARCA COMERCIAL;PRESENTACION;LABORATORIO;PVP PAMI AL 01/09/2025;COBERTURA;IMPORTE AFILIADO
42415;betahistina;BETASERC;16 mg comp.x 30;Abbott EPD;$ 16083.05;50%;$ 8041.53
42416;betahistina;BETASERC;24 mg comp.x 30;Abbott EPD;$ 22322;50%;$ 11161
48040;betahistina;BETASERC;8 mg comp.x 30;Abbott EPD;$ 12486.19;50%;$ 6243.1
21735;candesartán cilexetil;TIADYL;16 mg comp.x 30;Abbott EPD;$ 54641.58;60%;$ 21856.63
21733;candesartán cilexetil;TIADYL;8 mg comp.x 30;Abbott EPD;$ 36433.17;60%;$ 14573.27
29638;candesartán+hidroclorotiazida;TIADYL PLUS;16 mg comp.x 30;Abbott EPD;$ 49176.84;60%;$ 19670.74
10202;claritromicina;KLARICID;125 mg/5 ml jbe.x 60 ml;Abbott EPD;$ 1258.68;60%;$ 503.47
15947;claritromicina;KLARICID;500 mg comp.x 16;Abbott EPD;$ 30299.7;60%;$ 12119.88
30818;claritromicina;KLARICID;500 mg comp.x 8;Abbott EPD;$ 18357.49;60%;$ 7343
12610;claritromicina;KLARICID;IV iny.f.a.x 1;Abbott EPD;$ 1198.74;60%;$ 479.5
22622;claritromicina;KLARICID UD;comp.x 5;Abbott EPD;$ 11072.55;60%;$ 4429.02
18811;claritromicina;KLARICID UD;comp.x 8;Abbott EPD;$ 17714.84;60%;$ 7085.94
18812;claritromicina;KLARICID FORTE;jbe.x 60 ml;Abbott EPD;$ 5734.16;60%;$ 2293.66
50821;clofedianol+bromhexina;COFRON;Ad.jbe.x 180 ml;Abbott EPD;$ 575.14;50%;$ 287.57
50823;clofedianol+bromhexina;COFRON;Ped.jbe.x 180 ml;Abbott EPD;$ 882.93;50%;$ 441.47
50820;clofedianol+bromhexina;COFRON;ad.jbe.x 100 ml;Abbott EPD;$ 8653.69;50%;$ 4326.85
50822;clofedianol+bromhexina;COFRON;ped.jbe.x 100 ml;Abbott EPD;$ 8653.69;50%;$ 4326.85
21875;colagenasa+cloranfenicol+asoc.;IRUXOL;ung.x 15 g;Abbott EPD;$ 15925.31;60%;$ 6370.12
4640;colagenasa+cloranfenicol+asoc.;IRUXOL;ung.x 30 g;Abbott EPD;$ 31366.01;60%;$ 12546.4
